file,flake8_issues,bandit_issues,top_flake8_codes,top_bandit_codes
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\humanize\templatetags\humanize.py",0,2,"","B703:1;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\messages\storage\cookie.py",0,2,"","B703:1;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\sessions\backends\base.py",0,1,"","B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\staticfiles\storage.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\cache\backends\db.py",0,13,"","B608:11;B403:1;B301:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\cache\backends\filebased.py",0,5,"","B301:3;B403:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\cache\backends\locmem.py",0,3,"","B301:2;B403:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\cache\backends\redis.py",0,3,"","B403:1;B301:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\checks\security\base.py",0,1,"","B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\handlers\asgi.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\management\commands\dbshell.py",0,1,"","B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\management\commands\runserver.py",0,1,"","B104:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\management\commands\shell.py",0,3,"","B102:3"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\management\utils.py",0,4,"","B404:2;B603:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\serializers\xml_serializer.py",0,4,"","B406:2;B408:1;B319:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\base\client.py",0,2,"","B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\base\operations.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\mysql\base.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\mysql\creation.py",0,3,"","B603:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\mysql\introspection.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\mysql\schema.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\base.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\creation.py",0,1,"","B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\introspection.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\operations.py",0,2,"","B608:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\schema.py",0,2,"","B608:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\postgresql\introspection.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\postgresql\operations.py",0,2,"","B608:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\_functions.py",0,2,"","B324:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\base.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\introspection.py",0,1,"","B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\operations.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\schema.py",0,2,"","B608:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\migrations\autodetector.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\migrations\graph.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\migrations\questioner.py",0,1,"","B307:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\migrations\state.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\base.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\expressions.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\fields\__init__.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\fields\related.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\fields\related_descriptors.py",0,1,"","B610:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\functions\datetime.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\functions\text.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\query.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\sql\compiler.py",0,12,"","B611:5;B608:5;B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\sql\query.py",0,3,"","B101:2;B611:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\sql\where.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\utils.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\forms\utils.py",0,2,"","B703:1;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\forms\widgets.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\http\multipartparser.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\http\response.py",0,2,"","B110:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\middleware\csrf.py",0,6,"","B105:5;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\base.py",0,10,"","B703:5;B308:4;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\defaultfilters.py",0,27,"","B703:13;B308:13;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\defaulttags.py",0,5,"","B703:2;B308:2;B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\loader_tags.py",0,2,"","B703:1;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\loaders\cached.py",0,1,"","B324:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\smartif.py",0,4,"","B105:4"
".\Altaakhi Workshop\venv\Lib\site-packages\django\templatetags\i18n.py",0,3,"","B703:2;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\client.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\runner.py",0,4,"","B403:1;B301:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\selenium.py",0,1,"","B104:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\testcases.py",0,2,"","B403:1;B301:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\utils.py",0,5,"","B101:2;B318:2;B408:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\urls\resolvers.py",0,1,"","B403:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\autoreload.py",0,3,"","B404:1;B603:1;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\html.py",0,19,"","B703:10;B308:9"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\http.py",0,1,"","B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\lorem_ipsum.py",0,6,"","B311:6"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\numberformat.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\regex_helper.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\translation\trans_real.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\version.py",0,5,"","B101:2;B404:1;B607:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\xmlutils.py",0,1,"","B406:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\__pip-runner__.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\build_env.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cache.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\base_command.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\command_context.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\index_command.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\main_parser.py",0,2,"","B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\parser.py",0,7,"","B101:7"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\progress_bars.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\req_command.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\spinners.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\completion.py",0,1,"","B604:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\configuration.py",0,2,"","B404:1;B602:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\debug.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\download.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\install.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\search.py",0,2,"","B411:1;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\wheel.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\configuration.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\distributions\installed.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\distributions\sdist.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\distributions\wheel.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\exceptions.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\index\collector.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\index\package_finder.py",0,6,"","B101:6"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\locations\_distutils.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\models\direct_url.py",0,2,"","B101:1;B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\models\installation_report.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\models\link.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\models\pylock.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\auth.py",0,5,"","B603:2;B101:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\cache.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\download.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\session.py",0,4,"","B404:1;B607:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\xmlrpc.py",0,4,"","B411:2;B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\build\wheel.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\freeze.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\install\wheel.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\prepare.py",0,17,"","B101:17"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\__init__.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\constructors.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\req_file.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\req_install.py",0,32,"","B101:32"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\req_set.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\req_uninstall.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py",0,8,"","B101:8"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py",0,7,"","B101:7"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py",0,6,"","B101:6"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py",0,6,"","B101:6"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\filesystem.py",0,2,"","B101:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\logging.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\misc.py",0,2,"","B105:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\subprocess.py",0,6,"","B101:4;B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\temp_dir.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\unpacking.py",0,2,"","B202:1;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\urls.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\vcs\git.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\vcs\subversion.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\wheel_builder.py",0,10,"","B101:10"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py",0,8,"","B101:8"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\dependency_groups\_pip_wrapper.py",0,2,"","B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\distlib\compat.py",0,3,"","B411:2;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\distlib\scripts.py",0,1,"","B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\distlib\util.py",0,18,"","B101:15;B404:1;B202:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\distro\distro.py",0,6,"","B603:3;B404:1;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\_musllinux.py",0,3,"","B404:1;B603:1;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\_tokenizer.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py",0,3,"","B105:2;B307:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\markers.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\metadata.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\tags.py",0,2,"","B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\version.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py",0,2,"","B102:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py",0,1,"","B108:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py",0,1,"","B102:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pygments\lexer.py",0,11,"","B101:11"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py",0,1,"","B102:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pygments\style.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py",0,3,"","B603:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\requests\__init__.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\requests\_internal_utils.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\requests\auth.py",0,3,"","B324:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\resolvelib\resolvers\resolution.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\_emoji_codes.py",0,2,"","B105:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\_pick.py",0,1,"","B101:1"
